OrderID,Order Date,Product ID,Customer ID,Store ID,Quantity Sold,Sales Person ID
ORD000001,16/05/2022,P0054,C00614,S013,39,SP0009
ORD000002,29/03/2022,P0034,C01577,S002,50,SP0165
ORD000003,01/06/2022,P0011,C02771,S023,55,SP0050
ORD000004,12/10/2022,P0155,C01787,S039,30,SP0115
ORD000005,17/08/2022,P0157,C00396,S026,48,SP0106
ORD000006,25/09/2022,P0167,C02780,S008,16,SP0112
ORD000007,25/05/2022,P0104,C01003,S025,36,SP0095
ORD000008,21/11/2022,P0107,C01554,S002,28,SP0164
ORD000009,23/01/2022,P0038,C02660,S024,33,SP0007
ORD000010,07/06/2022,P0116,C01914,S002,53,SP0124
ORD000011,23/02/2022,P0035,C01704,S024,26,SP0131
ORD000012,07/06/2022,P0088,C00794,S044,36,SP0060
ORD000013,13/09/2022,P0009,C01257,S002,55,SP0174
ORD000014,23/02/2022,P0125,C02561,S016,23,SP0079
ORD000015,14/05/2022,P0003,C02137,S022,12,SP0063
ORD000016,04/01/2022,P0018,C01483,S006,43,SP0066
ORD000017,15/12/2022,P0035,C00543,S049,51,SP0143
ORD000018,20/09/2022,P0198,C02204,S034,32,SP0051
ORD000019,23/09/2022,P0010,C01333,S014,41,SP0134
ORD000020,26/08/2022,P0004,C02802,S033,21,SP0192
ORD000021,07/09/2022,P0141,C00600,S046,24,SP0054
ORD000022,23/10/2022,P0073,C02494,S026,41,SP0072
ORD000023,28/06/2022,P0012,C01289,S003,10,SP0192
ORD000024,09/02/2022,P0122,C02104,S019,17,SP0183
ORD000025,15/06/2022,P0094,C00030,S043,18,SP0135
ORD000026,24/12/2022,P0133,C00851,S049,44,SP0056
ORD000027,25/07/2022,P0132,C02853,S002,15,SP0001
ORD000028,09/11/2022,P0042,C02805,S002,40,SP0058
ORD000029,29/10/2022,P0034,C00391,S036,20,SP0114
ORD000030,24/03/2022,P0038,C00613,S007,43,SP0028
ORD000031,10/03/2022,P0123,C00106,S037,23,SP0044
ORD000032,30/10/2022,P0033,C00451,S049,35,SP0086
ORD000033,28/02/2022,P0174,C00930,S036,52,SP0177
ORD000034,27/11/2022,P0080,C00690,S009,45,SP0144
ORD000035,13/04/2022,P0132,C01977,S011,51,SP0194
ORD000036,22/08/2022,P0083,C02478,S042,29,SP0191
ORD000037,20/11/2022,P0152,C01629,S010,29,SP0074
ORD000038,26/10/2022,P0158,C02100,S035,14,SP0178
ORD000039,18/01/2022,P0058,C01386,S049,34,SP0092
ORD000040,18/11/2022,P0017,C01510,S016,50,SP0190
ORD000041,02/02/2022,P0127,C02334,S010,34,SP0076
ORD000042,23/07/2022,P0132,C01657,S036,11,SP0186
ORD000043,11/10/2022,P0086,C01320,S041,19,SP0062
ORD000044,26/09/2022,P0130,C02587,S041,54,SP0019
ORD000045,25/05/2022,P0121,C00644,S043,45,SP0199
ORD000046,12/12/2022,P0130,C00317,S001,36,SP0180
ORD000047,08/01/2022,P0170,C00360,S001,41,SP0056
ORD000048,07/06/2022,P0124,C01951,S026,26,SP0125
ORD000049,24/12/2022,P0053,C02008,S021,14,SP0198
ORD000050,02/09/2022,P0070,C02951,S023,17,SP0072
ORD000051,26/07/2022,P0014,C02258,S025,38,SP0048
ORD000052,20/12/2022,P0090,C00070,S020,17,SP0016
ORD000053,01/05/2022,P0060,C00047,S011,35,SP0033
ORD000054,28/04/2022,P0139,C00686,S018,55,SP0171
ORD000055,06/01/2022,P0102,C02051,S021,15,SP0197
ORD000056,16/11/2022,P0123,C00461,S050,51,SP0166
ORD000057,21/12/2022,P0178,C00225,S034,32,SP0200
ORD000058,25/10/2022,P0104,C01312,S005,16,SP0139
ORD000059,08/06/2022,P0113,C02308,S039,48,SP0034
ORD000060,30/08/2022,P0117,C00869,S029,51,SP0132
ORD000061,25/11/2022,P0004,C02477,S011,10,SP0021
ORD000062,02/11/2022,P0174,C00088,S016,40,SP0161
ORD000063,21/02/2022,P0049,C01008,S037,34,SP0186
ORD000064,06/06/2022,P0124,C00224,S026,32,SP0010
ORD000065,22/02/2022,P0162,C01548,S007,23,SP0132
ORD000066,10/06/2022,P0049,C01278,S049,18,SP0176
ORD000067,02/12/2022,P0114,C02936,S010,25,SP0142
ORD000068,23/10/2022,P0145,C00504,S019,36,SP0163
ORD000069,06/04/2022,P0104,C01543,S011,35,SP0193
ORD000070,14/09/2022,P0122,C02046,S043,49,SP0079
ORD000071,04/06/2022,P0037,C02731,S050,20,SP0061
ORD000072,12/03/2022,P0143,C00089,S009,24,SP0138
ORD000073,28/08/2022,P0011,C00676,S042,47,SP0063
ORD000074,14/07/2022,P0052,C00339,S047,30,SP0045
ORD000075,09/09/2022,P0105,C01235,S012,51,SP0183
ORD000076,22/08/2022,P0114,C02317,S028,34,SP0176
ORD000077,23/05/2022,P0032,C00762,S007,27,SP0161
ORD000078,22/02/2022,P0182,C02566,S026,53,SP0024
ORD000079,10/08/2022,P0148,C02542,S029,52,SP0198
ORD000080,22/06/2022,P0148,C00225,S016,32,SP0181
ORD000081,04/05/2022,P0148,C01915,S016,40,SP0049
ORD000082,16/08/2022,P0065,C02103,S026,44,SP0037
ORD000083,24/05/2022,P0176,C00771,S050,41,SP0021
ORD000084,28/07/2022,P0104,C01130,S027,31,SP0063
ORD000085,12/07/2022,P0190,C00005,S003,29,SP0167
ORD000086,14/08/2022,P0095,C00412,S024,55,SP0024
ORD000087,12/10/2022,P0009,C00081,S013,32,SP0148
ORD000088,25/06/2022,P0023,C01892,S034,32,SP0018
ORD000089,03/08/2022,P0048,C01881,S050,32,SP0006
ORD000090,16/04/2022,P0050,C02743,S038,40,SP0163
ORD000091,17/12/2022,P0087,C00546,S018,23,SP0196
ORD000092,15/08/2022,P0124,C01437,S017,41,SP0120
ORD000093,21/02/2022,P0135,C02772,S021,37,SP0093
ORD000094,13/07/2022,P0038,C00055,S011,50,SP0048
ORD000095,01/06/2022,P0045,C00536,S019,43,SP0178
ORD000096,02/05/2022,P0051,C00500,S040,23,SP0124
ORD000097,23/07/2022,P0164,C00186,S042,53,SP0144
ORD000098,04/02/2022,P0158,C02397,S002,40,SP0159
ORD000099,01/12/2022,P0070,C02239,S041,50,SP0193
ORD000100,28/12/2022,P0157,C01387,S021,22,SP0102
ORD000101,28/02/2022,P0190,C02392,S019,28,SP0038
ORD000102,18/02/2022,P0119,C00890,S047,39,SP0136
ORD000103,27/07/2022,P0010,C00232,S050,26,SP0139
ORD000104,23/09/2022,P0139,C02596,S005,34,SP0073
ORD000105,08/07/2022,P0057,C01762,S015,36,SP0123
ORD000106,28/10/2022,P0079,C02819,S011,18,SP0130
ORD000107,10/07/2022,P0013,C00006,S014,30,SP0175
ORD000108,12/03/2022,P0112,C02094,S029,40,SP0032
ORD000109,09/06/2022,P0039,C01116,S006,54,SP0179
ORD000110,06/02/2022,P0097,C00807,S023,28,SP0087
ORD000111,11/09/2022,P0037,C02081,S016,13,SP0135
ORD000112,02/03/2022,P0160,C02601,S024,23,SP0152
ORD000113,09/08/2022,P0095,C00606,S030,44,SP0103
ORD000114,25/09/2022,P0174,C02542,S039,35,SP0143
ORD000115,10/09/2022,P0060,C00372,S022,12,SP0090
ORD000116,04/06/2022,P0102,C00999,S015,53,SP0156
ORD000117,09/09/2022,P0080,C01532,S039,29,SP0065
ORD000118,08/10/2022,P0080,C00784,S045,31,SP0040
ORD000119,25/03/2022,P0019,C02422,S020,20,SP0024
ORD000120,11/06/2022,P0070,C01116,S047,10,SP0125
ORD000121,28/07/2022,P0138,C00369,S022,29,SP0179
ORD000122,23/11/2022,P0122,C02803,S042,44,SP0161
ORD000123,07/05/2022,P0126,C02659,S024,45,SP0041
ORD000124,20/05/2022,P0113,C00482,S039,54,SP0108
ORD000125,15/04/2022,P0163,C02102,S009,45,SP0182
ORD000126,30/03/2022,P0076,C01981,S036,44,SP0161
ORD000127,16/06/2022,P0087,C00585,S041,35,SP0010
ORD000128,14/02/2022,P0146,C01916,S007,54,SP0132
ORD000129,06/01/2022,P0188,C01113,S047,54,SP0041
ORD000130,04/03/2022,P0145,C00713,S021,48,SP0026
ORD000131,11/02/2022,P0071,C02482,S045,25,SP0054
ORD000132,14/01/2022,P0032,C00794,S041,24,SP0161
ORD000133,26/03/2022,P0129,C00945,S048,24,SP0082
